"compound","sample","rt","peakIntensity","sampMqConc","sampPooledConc"
"cytidine pos","mtab_TSQ_cm_PMI_2020_1112_51",0.763,48827.42,106351221.444227,69219369.3523316
"cytidine pos","mtab_TSQ_cm_PMI_2020_1112_52",0.774,8009.26,17448619.2058554,11323548.4213227
"cytidine pos","mtab_TSQ_cm_PMI_2020_1112_53",0.754,54071.79,117773542.786024,76657899.3207563
"cytidine pos","mtab_TSQ_cm_PMI_2020_1112_54",0.775,26258.03,57194730.7564382,37207309.9659677
"cytidine pos","mtab_TSQ_cm_PMI_2020_1112_55",0.753,114223.61,248785164.264654,161976272.304602
"cytidine pos","mtab_TSQ_cm_PMI_2020_1112_56",0.774,24456.21,53270338.1144096,34651637.4890626
"cytidine pos","mtab_TSQ_cm_PMI_2020_1112_57",0.753,25753.21,56095224.7605291,36491281.406072
"cytidine pos","mtab_TSQ_cm_PMI_2020_1112_58",0.773,123861.13,269775836.238215,175645975.49894
"cytidine pos","mtab_TSQ_cm_PMI_2020_1112_59",0.754,113853.64,247979363.715336,161451512.813487
"cytidine pos","mtab_TSQ_cm_PMI_2020_1112_60",0.764,6549.03,14268215.0213811,9252381.70047866
"cytidine pos","mtab_TSQ_cm_PMI_2020_1112_61",0.764,4848.24,10563867.327585,6840008.54888999
"cytidine pos","mtab_TSQ_cm_PMI_2020_1112_62",0.774,37793.61,82319407.6240118,53569190.9036515
"ectoine","mtab_TSQ_cm_PMI_2020_1112_51",0.587,23225.7,871468328.197139,908745300.199297
"ectoine","mtab_TSQ_cm_PMI_2020_1112_52",0.588,15174.3,569371405.74934,593766046.581293
"ectoine","mtab_TSQ_cm_PMI_2020_1112_53",0.578,11365.81,426472890.190155,444773903.896588
"ectoine","mtab_TSQ_cm_PMI_2020_1112_54",0.588,20339.09,763159711.396701,795818074.712268
"ectoine","mtab_TSQ_cm_PMI_2020_1112_55",0.598,9949.57,373334088.808101,389369102.477709
"ectoine","mtab_TSQ_cm_PMI_2020_1112_56",0.588,22904.75,859425949.57235,896189397.940225
"ectoine","mtab_TSQ_cm_PMI_2020_1112_57",0.578,14540.14,545577061.369543,568957039.020572
"ectoine","mtab_TSQ_cm_PMI_2020_1112_58",0.587,21642.63,812069891.276921,846813933.353152
"ectoine","mtab_TSQ_cm_PMI_2020_1112_59",0.588,12863.84,482680537.647054,503378416.316463
"ectoine","mtab_TSQ_cm_PMI_2020_1112_60",0.578,24644.78,924713689.340197,964261205.41134
"ectoine","mtab_TSQ_cm_PMI_2020_1112_61",0.588,22408.78,840816638.070446,876786528.822193
"ectoine","mtab_TSQ_cm_PMI_2020_1112_62",0.587,14099.77,529053919.8366,551729300.501089
"folic acid pos","mtab_TSQ_cm_PMI_2020_1112_51",4.158,715.05,639336.234078651,847768.104132619
"folic acid pos","mtab_TSQ_cm_PMI_2020_1112_52",4.122,606.18,542319.538827643,718274.124811964
"folic acid pos","mtab_TSQ_cm_PMI_2020_1112_53",3.973,716.35,640494.695581602,849314.371911776
"folic acid pos","mtab_TSQ_cm_PMI_2020_1112_54",3.98,987.54,882158.676339578,1171877.72501151
"folic acid pos","mtab_TSQ_cm_PMI_2020_1112_55",3.923,606.18,542319.538827643,718274.124811964
"folic acid pos","mtab_TSQ_cm_PMI_2020_1112_56",4.062,606.18,542319.538827643,718274.124811964
"folic acid pos","mtab_TSQ_cm_PMI_2020_1112_57",4.116,606.18,542319.538827643,718274.124811964
"folic acid pos","mtab_TSQ_cm_PMI_2020_1112_58",4.167,606.18,542319.538827643,718274.124811964
"folic acid pos","mtab_TSQ_cm_PMI_2020_1112_59",3.941,606.18,542319.538827643,718274.124811964
"folic acid pos","mtab_TSQ_cm_PMI_2020_1112_60",4.004,606.18,542319.538827643,718274.124811964
"folic acid pos","mtab_TSQ_cm_PMI_2020_1112_61",4.074,606.18,542319.538827643,718274.124811964
"folic acid pos","mtab_TSQ_cm_PMI_2020_1112_62",4.072,678.79,607024.069388639,804639.127461663
"folynic acid pos","mtab_TSQ_cm_PMI_2020_1112_51",3.933,665.89,691676.930781804,965987.78055354
"folynic acid pos","mtab_TSQ_cm_PMI_2020_1112_52",4.027,474.55,494732.576662842,688954.758957965
"folynic acid pos","mtab_TSQ_cm_PMI_2020_1112_53",3.863,440.89,460086.674291961,640219.881217257
"folynic acid pos","mtab_TSQ_cm_PMI_2020_1112_54",3.97,621.79,646285.240509794,902137.272283628
"folynic acid pos","mtab_TSQ_cm_PMI_2020_1112_55",3.853,300.35,315430.253638262,436738.012005162
"folynic acid pos","mtab_TSQ_cm_PMI_2020_1112_56",3.876,300.35,315430.253638262,436738.012005162
"folynic acid pos","mtab_TSQ_cm_PMI_2020_1112_57",3.887,300.35,315430.253638262,436738.012005162
"folynic acid pos","mtab_TSQ_cm_PMI_2020_1112_58",4.059,518.74,540216.903037447,752935.574387611
"folynic acid pos","mtab_TSQ_cm_PMI_2020_1112_59",3.901,419.96,438543.633988262,609916.22729233
"folynic acid pos","mtab_TSQ_cm_PMI_2020_1112_61",3.84,300.35,315430.253638262,436738.012005162
"folynic acid pos","mtab_TSQ_cm_PMI_2020_1112_62",4.026,349.45,365968.39405449,507827.806926991
"folynic acid pos","mtab_TSQ_cm_PMI_2020_1112_60",0,300.35,315430.253638262,436738.012005162
