"compound","sample","rt","peakIntensity","sampMqConc","sampPooledConc"
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_90",0.521,1235.09,92159.97878083,65599.1032020874
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_79",0,0,2117.67082073834,0
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_81",0,0,2117.67082073834,0
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_83",0,0,2117.67082073834,0
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_87",0,0,2117.67082073834,0
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_88",0,0,2117.67082073834,0
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_89",0,0,2117.67082073834,0
"nadp","mtab_TSQ_cm_PMI_2020_1112_79",0.808,1279.77,94385.0748721169,97875.1112351828
"nadp","mtab_TSQ_cm_PMI_2020_1112_80",0.774,450.82,37121.1069246371,35537.5220754876
"nadp","mtab_TSQ_cm_PMI_2020_1112_81",0.791,5321.66,373599.333159395,401827.916891351
"nadp","mtab_TSQ_cm_PMI_2020_1112_82",0.782,2002.47,144309.27975256,152222.630006775
"nadp","mtab_TSQ_cm_PMI_2020_1112_83",0.932,1029.29,77081.8856671169,79038.8492981294
"nadp","mtab_TSQ_cm_PMI_2020_1112_84",0.798,3680.79,260247.831758851,278433.405853931
"nadp","mtab_TSQ_cm_PMI_2020_1112_85",0.791,725.89,56122.9763538105,56222.9683028323
"nadp","mtab_TSQ_cm_PMI_2020_1112_86",0.818,518.37,41787.4692321976,40617.3268257589
"nadp","mtab_TSQ_cm_PMI_2020_1112_87",0.798,2794.78,199042.151993911,211804.866893341
"nadp","mtab_TSQ_cm_PMI_2020_1112_88",0.764,1862.7,134653.950963105,141711.833412469
"nadp","mtab_TSQ_cm_PMI_2020_1112_89",0.81,2467.33,176421.865722843,187180.409965489
"nadp","mtab_TSQ_cm_PMI_2020_1112_90",0.791,1507.48,110115.309676774,114999.054087652
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_79",0.486,2389.36,629575.735561997,208339.569324355
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_80",0.782,2326.13,613012.570446091,202830.055022554
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_81",0.479,1856.48,489987.258146787,161907.338086907
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_82",0.557,1331.96,352588.691539248,116203.551251847
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_83",0.459,2326.87,613206.414225718,202894.534550995
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_84",0.573,2888.13,760229.062540649,251799.642838659
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_85",0.846,1863.03,491703.037547533,162478.069048109
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_86",0.468,3894.53,1023856.6028324,339491.801518602
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_87",0.582,2298.37,605740.80919957,200411.201361033
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_88",0.566,2751.9,724543.470515664,239929.310190638
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_89",0.575,1865.15,492258.373781057,162662.794183643
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_90",0.514,1600.44,422917.310396092,139597.421246274
"s-(5'-adenosyl)-l-homocysteine neg","mtab_TSQ_cm_PMI_2020_1112_79",1.409,930.44,151304.511475644,127932.995633061
"s-(5'-adenosyl)-l-homocysteine neg","mtab_TSQ_cm_PMI_2020_1112_80",1.343,509.48,82998.1027354608,70146.5039108622
"s-(5'-adenosyl)-l-homocysteine neg","mtab_TSQ_cm_PMI_2020_1112_81",1.458,1945.98,316089.503712451,267339.3378118
"s-(5'-adenosyl)-l-homocysteine neg","mtab_TSQ_cm_PMI_2020_1112_82",1.367,1432.81,232820.785133013,196894.891885629
"s-(5'-adenosyl)-l-homocysteine neg","mtab_TSQ_cm_PMI_2020_1112_83",1.322,738.06,120088.274984205,101524.393206425
"s-(5'-adenosyl)-l-homocysteine neg","mtab_TSQ_cm_PMI_2020_1112_84",1.438,1698.23,275888.741727035,233329.922845592
"s-(5'-adenosyl)-l-homocysteine neg","mtab_TSQ_cm_PMI_2020_1112_85",1.392,1049.77,170667.405230315,144313.79679519
"s-(5'-adenosyl)-l-homocysteine neg","mtab_TSQ_cm_PMI_2020_1112_86",1.492,1144.85,186095.411081267,157365.72484761
"s-(5'-adenosyl)-l-homocysteine neg","mtab_TSQ_cm_PMI_2020_1112_87",1.45,830,135006.773700407,114145.283668557
"s-(5'-adenosyl)-l-homocysteine neg","mtab_TSQ_cm_PMI_2020_1112_88",1.336,256.5,41948.7030701917,35419.1505379007
"s-(5'-adenosyl)-l-homocysteine neg","mtab_TSQ_cm_PMI_2020_1112_89",1.469,370.02,60368.8463621569,51002.3948848791
"s-(5'-adenosyl)-l-homocysteine neg","mtab_TSQ_cm_PMI_2020_1112_90",1.398,1127.1,183215.235399163,154929.127004421
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_79",1.27,3856.28,269378.133762691,210235.907331383
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_80",1.233,2190.68,153464.411537367,118806.798295761
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_81",1.271,5623.39,392356.21834578,307237.163856322
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_82",1.258,5724.23,399373.953545829,312772.533305861
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_83",1.225,3221.44,225197.857935647,175387.891252988
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_84",1.276,4380.37,305851.010012133,239004.568327108
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_85",1.246,4837.96,337695.966876377,264122.871643396
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_86",1.276,4595.17,320799.537590182,250795.49809467
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_87",1.276,3420.64,239060.738259425,186322.496512292
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_88",1.245,1967.64,137942.439512189,106563.553531529
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_89",1.271,1659.01,116464.022070785,89622.0514171774
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_90",1.259,4026.35,281213.776617435,219571.491249303
"sucrose_377 neg","mtab_TSQ_cm_PMI_2020_1112_79",0.6,2062.42,145401.857555288,99693.5467026923
"sucrose_377 neg","mtab_TSQ_cm_PMI_2020_1112_80",0.586,983.73,68972.3034109488,49042.0604617308
"sucrose_377 neg","mtab_TSQ_cm_PMI_2020_1112_81",0.61,2647.24,186838.722506935,127154.635786154
"sucrose_377 neg","mtab_TSQ_cm_PMI_2020_1112_82",0.601,2013.96,141968.270339466,97418.0356446154
"sucrose_377 neg","mtab_TSQ_cm_PMI_2020_1112_83",0.574,1880.14,132486.581498747,91134.3193880769
"sucrose_377 neg","mtab_TSQ_cm_PMI_2020_1112_84",0.574,634.86,44253.451327092,32660.3530157692
"sucrose_377 neg","mtab_TSQ_cm_PMI_2020_1112_85",0.576,2366.38,166938.654297367,113966.438597308
"sucrose_377 neg","mtab_TSQ_cm_PMI_2020_1112_86",0.565,1640.06,115475.941408477,79861.007485
"sucrose_377 neg","mtab_TSQ_cm_PMI_2020_1112_87",0.591,1460.25,102735.674853032,71417.7626778846
"sucrose_377 neg","mtab_TSQ_cm_PMI_2020_1112_88",0.584,1404.64,98795.4811866709,68806.5127823077
"sucrose_377 neg","mtab_TSQ_cm_PMI_2020_1112_89",0.576,1545.98,108809.992476069,75443.3417742308
"sucrose_377 neg","mtab_TSQ_cm_PMI_2020_1112_90",0.567,1396.3,98204.5584177903,68414.8957326923
"uridine neg","mtab_TSQ_cm_PMI_2020_1112_79",1.284,2065.67,33446.2621362754,23514.5973968209
"uridine neg","mtab_TSQ_cm_PMI_2020_1112_80",1.246,1512.02,24583.0159282618,17189.8073132637
"uridine neg","mtab_TSQ_cm_PMI_2020_1112_81",1.311,4664.13,75044.3669708728,53198.8998270928
"uridine neg","mtab_TSQ_cm_PMI_2020_1112_82",1.271,2752.17,44436.271206629,31357.0400814809
"uridine neg","mtab_TSQ_cm_PMI_2020_1112_83",1.232,1848.7,29972.8429549285,21035.9742514594
"uridine neg","mtab_TSQ_cm_PMI_2020_1112_84",1.296,3484.09,56153.397847231,39718.3520257728
"uridine neg","mtab_TSQ_cm_PMI_2020_1112_85",1.272,1972.53,31955.2068634236,22450.5841242073
"uridine neg","mtab_TSQ_cm_PMI_2020_1112_86",1.327,2939.46,47434.5505930624,33496.6046705705
"uridine neg","mtab_TSQ_cm_PMI_2020_1112_87",1.296,2665.21,43044.1500285403,30363.625928738
"uridine neg","mtab_TSQ_cm_PMI_2020_1112_88",1.264,696.72,11531.0794460196,7875.97844100829
"uridine neg","mtab_TSQ_cm_PMI_2020_1112_89",1.322,841.67,13851.5482220542,9531.85909234328
"uridine neg","mtab_TSQ_cm_PMI_2020_1112_90",1.279,2058.95,33338.6833147856,23437.8294218159
"xanthosine neg","mtab_TSQ_cm_PMI_2020_1112_79",3.001,120.65,89539.4452859525,76727.0121264108
"xanthosine neg","mtab_TSQ_cm_PMI_2020_1112_80",2.948,22.48,16659.7262814829,15002.7115439177
"xanthosine neg","mtab_TSQ_cm_PMI_2020_1112_81",3.036,30.58,22673.026922577,20095.5793723602
"xanthosine neg","mtab_TSQ_cm_PMI_2020_1112_82",3.054,52.53,38968.3292771467,33896.6224383245
"xanthosine neg","mtab_TSQ_cm_PMI_2020_1112_83",2.94,181.62,134802.524309101,115061.845644946
"xanthosine neg","mtab_TSQ_cm_PMI_2020_1112_84",3.008,147.48,109457.575681083,93596.3508717331
"xanthosine neg","mtab_TSQ_cm_PMI_2020_1112_85",2.947,27.23,20186.0445586677,17989.2698383747
"xanthosine neg","mtab_TSQ_cm_PMI_2020_1112_86",3.022,381.67,283316.202488221,240843.106025182
