OrthologID,Log2 Fold Change,Post-p (Low N /Replete > 2),Post-p (Replete /Low N > 2)
OG_11229,-0.022056952,0,0
OG_1123,0.190523761,0,0
OG_11230,0.227270654,0,0
OG_11231,-0.236104946,0,0
OG_11232,0.088746983,0,0
OG_11235,0.05738842,0,0
OG_11239,-0.050222597,0,0
OG_1124,-0.028317804,0,0
OG_11240,-0.098603283,0,0
OG_11241,-0.125735016,0,0
OG_11242,-0.100983002,0,0
OG_11245,-0.051850413,0,0
OG_11247,-0.001346722,0,0
OG_11249,0.003055711,0,0
OG_1125,0.076493036,0,0
OG_11251,0.099603145,0,0
OG_11252,-0.186283202,0,0
OG_11254,0.120272737,0,0
OG_11258,-0.163799318,0,0
OG_11259,-0.0246955,0,0
OG_1126,0.227290979,0,0
OG_11260,0.109059138,0,0
OG_11262,-0.219654133,0,0
OG_11263,0.169173373,0,0
OG_11264,0.005227898,0,0
OG_11265,-0.249960411,0,0
OG_11266,0.129382461,0,0
OG_11268,0.051200322,0,0
OG_1127,0.060992985,0,0
OG_11271,-0.25619918,0,0
OG_11275,-0.024941447,0,0
OG_11276,0.013750333,0,0
OG_11278,0.135756634,0,0
OG_11279,-0.043129918,0,0
OG_1128,0.292185934,0,0
OG_11280,-0.032270345,0,0
OG_11283,-0.143524527,0,0
OG_11285,0.052944113,0,0
OG_11286,0.08522467,0,0
OG_11287,0.13631633,0,0
OG_1129,-0.088600813,0,0
OG_11292,0.055955361,0,0
OG_11293,0.127850546,0,0
OG_11296,-0.040402832,0,0
OG_11297,-0.12324242,0,0
OG_11298,0.045499385,0,0
OG_113,0.057318784,0,0
OG_1130,-0.219600038,0,0
OG_11300,-0.015409705,0,0
OG_11301,-0.156603999,0,0
OG_11304,-0.003388173,0,0
OG_11306,0.088499043,0,0
OG_11307,0.048593943,0,0
OG_11308,0.173544796,0,0
OG_11309,0.110827975,0,0
OG_1131,-0.041353858,0,0
OG_11311,-0.05237883,0,0
OG_11312,0.059056257,0,0
OG_11316,0.179525224,0,0
OG_11317,-0.107123921,0,0
OG_11320,0.015173668,0,0
OG_11322,-0.153645918,0,0
OG_11323,-0.169078537,0,0
OG_11325,0.141320362,0,0
OG_11326,-0.061077917,0,0
OG_11328,0.21615361,0,0
OG_1133,0.09012072,0,0
OG_11331,0.365028616,0,0
OG_11332,-0.148430047,0,0
OG_11333,0.058228101,0,0
OG_11334,0.089684499,0,0
OG_11336,0.167352852,0,0
OG_11339,-0.09373779,0,0
OG_11340,0.054613024,0,0
OG_11343,0.185088359,0,0
OG_11345,-0.070320726,0,0
OG_11348,0.448090698,1.28E-05,0
OG_1135,-0.052052358,0,0
OG_11355,0.027823557,0,0
OG_11356,-0.002141163,0,0
OG_11358,0.008503163,0,0
OG_1136,0.067498417,0,0
OG_11362,0.002728343,0,0
OG_11365,-0.112728943,0,0
OG_11366,0.09407178,0,0
OG_11367,-0.082821876,0,0
OG_1137,-0.361751566,0,0
OG_11370,0.017076988,0,0
OG_11377,-0.064365398,0,0
OG_11378,-0.037080733,0,0
OG_1138,-0.103442144,0,0
OG_11381,-0.160004367,0,0
OG_11383,0.095260894,0,0
OG_1139,-0.195833104,0,0
OG_11391,0.036430843,0,0
OG_11398,-0.088040527,0,0
OG_114,-0.046628073,0,0
OG_1140,-0.019737094,0,0
OG_11402,0.10636235,0,0
OG_11403,0.163836622,0,0
OG_11404,0.008244045,0,0
OG_11409,-0.076901402,0,0
OG_1141,-0.036725626,0,0
OG_11410,0.047992339,0,0
OG_11412,0.121309466,0,0
OG_11413,-0.081705652,0,0
OG_11415,0.163394753,0,0
OG_11416,0.026343967,0,0
OG_11417,0.108185482,0,0
OG_1142,-0.097619029,0,0
OG_11422,-0.093292983,0,0
OG_1143,-0.32147095,0,0
OG_11431,0.010060136,0,0
OG_11432,-0.063719568,0,0
OG_11434,-0.047901644,0,0
OG_11436,0.19402615,0,0
OG_11439,0.03682798,0,0
OG_1144,0.015016569,0,0
OG_11440,-0.063973536,0,0
OG_11441,-0.001163323,0,0
OG_11443,-0.065530372,0,0
OG_11446,-0.15954724,0,0
OG_11448,-0.014778163,0,0
OG_11449,0.178449079,0,0
OG_1145,0.043972963,0,0
OG_11450,0.186132275,0,0
OG_11451,0.388436917,0,0
OG_11452,-0.134365855,0,0
OG_11453,0.134219479,0,0
OG_11455,0.015871384,0,0
OG_11459,0.024849858,0,0
OG_1146,-0.028106843,0,0
OG_11460,0.036456533,0,0
OG_11461,-0.044517836,0,0
OG_11462,0.180236411,0,0
OG_11463,0.155265217,0,0
OG_11464,0.207922856,0,0
OG_11465,0.010243594,0,0
OG_11467,-0.02488472,0,0
OG_11469,0.005338985,0,0
OG_1147,-0.002003453,0,0
OG_11470,-0.03491138,0,0
OG_11475,0.079951042,0,0
OG_11476,0.078072867,0,0
OG_11477,0.164542669,0,0
OG_1148,-0.011627795,0,0
OG_11481,0.042136526,0,0
OG_11485,-0.096151613,0,0
OG_11486,-0.109496992,0,0
OG_11488,-0.018825186,0,0
OG_1149,-0.057535082,0,0
OG_11490,0.026873205,0,0
OG_11491,0.048151547,0,0
OG_11492,0.138777167,0,0
OG_11493,0.044523451,0,0
OG_11495,-0.043233221,0,0
OG_11498,0.002972929,0,0
OG_11499,0.129890488,0,0
OG_115,-0.181957341,0,0
