OrthologID,Log2 Fold Change,Post-p (Low P/ Replete > 2),Post-p (Replete /Low P > 2)
OG_10950,-0.049072654,0,0
OG_10955,0.339614556,0.0009624,0
OG_10956,-0.198882612,0,0
OG_10957,-0.110165021,0,0
OG_1096,-0.336724044,0,0
OG_10960,0.294025276,0,0
OG_10962,0.316936202,0.000818125,0
OG_10964,-0.055684134,0,0
OG_10965,0.283750493,0.000131323,0
OG_10966,-0.095954216,0,0
OG_10967,0.279282431,0,0
OG_10968,-0.230128458,0,0
OG_1097,-0.156976252,0,0
OG_10971,-0.06926199,0,0
OG_10973,0.139421013,0,0
OG_10976,0.303900103,0,0
OG_10977,0.097497819,0,0
OG_1098,-0.460621534,0,0
OG_10982,0.272820332,0,0
OG_10983,0.254264555,0,0
OG_10984,-0.169872106,0,0
OG_10986,-0.140306041,0,0
OG_10987,0.088390618,0,0
OG_10988,0.129382613,0,0
OG_10989,-0.092243787,0,0
OG_10991,-0.216808711,0,2.39E-05
OG_10992,0.121804651,0,0
OG_10995,-0.005832182,0,0
OG_10997,0.309064779,0,0
OG_10998,0.211802081,4.83E-05,0
OG_10999,0.320425047,3.94E-05,0
OG_11,-0.009849587,0,0
OG_110,0.158783846,0,0
OG_1100,0.298800191,0,0
OG_11000,0.089743321,0,0
OG_11002,0.168456978,0,0
OG_11003,-0.069636532,0,0
OG_11005,0.187279374,0,0
OG_11006,0.067946139,0,0
OG_11007,0.024376542,0,0
OG_11008,0.079000289,0,0
OG_1101,-0.114692038,0,0
OG_11010,0.255705824,0,0
OG_11013,0.099330425,0,0
OG_11014,-0.260028581,0,0
OG_11015,-0.009695611,0,0
OG_11016,-0.047965626,0,0
OG_11018,-0.2968372,0,0
OG_11019,0.115390355,0,0
OG_1102,-0.278239504,0,0
OG_11021,-0.576891395,0,0.049552043
OG_11025,0.122379283,0,0
OG_11027,0.076035361,0,0
OG_1103,0.150613482,0,0
OG_11035,-0.293430659,0,0
OG_11036,-0.127258457,0,0
OG_11038,0.180853126,0,0
OG_1104,0.184016547,0,0
OG_11040,0.535493592,0.001237451,0
OG_11042,0.059205828,0,0
OG_11043,0.407084595,0,0
OG_11046,0.48708843,8.31E-05,0
OG_11048,0.027255581,0,0
OG_1105,0.157858756,0,0
OG_11051,0.021885636,0,0
OG_11058,-0.586309144,0,0.017753563
OG_11059,-0.119192964,0,0
OG_1106,-0.530826011,0,0
OG_11062,0.007513268,0,0
OG_11063,-0.096168902,0,0
OG_11064,0.16948477,0,0
