"compound","sample","rt","peakIntensity","sampMqConc","sampPooledConc","perCellMq","perCellPool","expFactor","ionization_mode","perCellPoolConc","perCellMqConc"
"d-glucosamine","mtab_TSQ_cm_PMI_2020_1112_61",0.383,2952.53,50.6735199449966,0,1.06860441607229e-05,0,"N1","pos",0,59.6419275588709
"dmsp","mtab_TSQ_cm_PMI_2020_1112_52",0.533,13046291,6096.41817182035,0,0.00119982507298792,0,"N3","pos",0,8940.57431436602
"dmsp","mtab_TSQ_cm_PMI_2020_1112_53",0.523,13081254,6112.75607724814,0,0.00047144500001204,0,"R1","pos",0,3513.00298071565
"dmsp","mtab_TSQ_cm_PMI_2020_1112_54",0.524,12980307,6065.58442323622,0,0.000527401396141244,0,"R2","pos",0,3929.96569404802
"dmsp","mtab_TSQ_cm_PMI_2020_1112_55",0.523,11154700,5212.49417027449,0,0.000708145497254135,0,"P3","pos",0,5276.79208088029
"dmsp","mtab_TSQ_cm_PMI_2020_1112_56",0.523,12997476,6073.6073474215,0,0.000538326170588627,0,"R3","pos",0,4011.37235908068
"dmsp","mtab_TSQ_cm_PMI_2020_1112_58",0.523,12963195,6057.58813465457,0,0.000871065457368005,0,"P1","pos",0,6490.800725544
"dmsp","mtab_TSQ_cm_PMI_2020_1112_59",0.523,12199241,5700.5990832809,0,0.000854190934879815,0,"P2","pos",0,6365.05912727135
"dmsp","mtab_TSQ_cm_PMI_2020_1112_60",0.533,13081079,6112.67430127211,0,0.00105719280462038,0,"N2","pos",0,7877.74071997303
"dmsp","mtab_TSQ_cm_PMI_2020_1112_61",0.533,13089240,6116.48786550276,0,0.00128984644268317,0,"N1","pos",0,9611.37438661081
"gaba","mtab_TSQ_cm_PMI_2020_1112_52",0.524,955423.06,152.692911660814,0,3.00512167496986e-05,0,"N3","pos",0,291.419867627023
"gaba","mtab_TSQ_cm_PMI_2020_1112_53",0.514,1413860,225.958959040363,0,1.7427036201232e-05,0,"R1","pos",0,168.997635776105
"gaba","mtab_TSQ_cm_PMI_2020_1112_54",0.524,1703791.25,272.294921188858,0,2.36759908982609e-05,0,"R2","pos",0,229.596498237596
"gaba","mtab_TSQ_cm_PMI_2020_1112_55",0.524,75951.9,12.1384099282374,0,1.64906857517954e-06,0,"P3","pos",0,15.9917433589948
"gaba","mtab_TSQ_cm_PMI_2020_1112_56",0.524,1581911.5,252.816456957534,0,2.24080529660043e-05,0,"R3","pos",0,217.300746373199
"gaba","mtab_TSQ_cm_PMI_2020_1112_58",0.523,99161.57,15.8477113250308,0,2.27885977169712e-06,0,"P1","pos",0,22.099105621578
"gaba","mtab_TSQ_cm_PMI_2020_1112_59",0.524,103108.15,16.4784421672426,0,2.46916783912803e-06,0,"P2","pos",0,23.9446066633828
"gaba","mtab_TSQ_cm_PMI_2020_1112_60",0.524,647105,103.418423457636,0,1.78863141983277e-05,0,"N2","pos",0,173.451456539252
"gaba","mtab_TSQ_cm_PMI_2020_1112_61",0.524,1111237,177.594638625561,0,3.74512004123716e-05,0,"N1","pos",0,363.180764278235
"glutamine","mtab_TSQ_cm_PMI_2020_1112_52",0.526,4497.12,1.4417157398349,0,2.83741476391988e-07,0,"N3","pos",0,1.94157298749136
"glutamine","mtab_TSQ_cm_PMI_2020_1112_53",0.526,62528.85,20.04590209707,0,1.54603589526003e-06,0,"R1","pos",0,10.579142570549
"glutamine","mtab_TSQ_cm_PMI_2020_1112_54",0.526,67949.26,21.7836121011078,0,1.89408087225895e-06,0,"R2","pos",0,12.9607285634251
"glutamine","mtab_TSQ_cm_PMI_2020_1112_55",0.526,23948.15,7.67745241286136,0,1.04302339320686e-06,0,"P3","pos",0,7.13715199949952
"glutamine","mtab_TSQ_cm_PMI_2020_1112_56",0.526,64243.1,20.5954674204351,0,1.82545207052817e-06,0,"R3","pos",0,12.4911185885327
"glutamine","mtab_TSQ_cm_PMI_2020_1112_58",0.525,38400.3,12.3106158884757,0,1.77023462490462e-06,0,"P1","pos",0,12.1132792179049
"glutamine","mtab_TSQ_cm_PMI_2020_1112_59",0.526,32198.39,10.3223675731007,0,1.54672740156379e-06,0,"P2","pos",0,10.5838743777459
"glutamine","mtab_TSQ_cm_PMI_2020_1112_60",0.476,3208.86,1.02871703866621,0,1.77917585277196e-07,0,"N2","pos",0,1.21744618364032
"glutamine","mtab_TSQ_cm_PMI_2020_1112_61",0.526,7100.88,2.27644591709334,0,4.80057466423522e-07,0,"N1","pos",0,3.28491492010074
"homarine","mtab_TSQ_cm_PMI_2020_1112_52",0.569,1582086.75,1096.45079383384,0,0.000215790504631105,0,"N3","pos",0,1573.50521096037
"homarine","mtab_TSQ_cm_PMI_2020_1112_53",0.559,3917037.5,2714.66711692764,0,0.000209368118537586,0,"R1","pos",0,1526.67433671858
"homarine","mtab_TSQ_cm_PMI_2020_1112_54",0.569,3696650,2561.92956993405,0,0.000222759282159634,0,"R2","pos",0,1624.32027241967
"homarine","mtab_TSQ_cm_PMI_2020_1112_55",0.569,1713950.5,1187.8377632054,0,0.000161374178273284,0,"P3","pos",0,1176.71123139335
"homarine","mtab_TSQ_cm_PMI_2020_1112_56",0.569,3933385,2725.99660271734,0,0.000241615110795965,0,"R3","pos",0,1761.81355400295
"homarine","mtab_TSQ_cm_PMI_2020_1112_58",0.568,1710631.38,1185.53747735899,0,0.000170477213370583,0,"P1","pos",0,1243.08891184616
"homarine","mtab_TSQ_cm_PMI_2020_1112_59",0.569,2090440.62,1448.76080737134,0,0.000217085665977675,0,"P2","pos",0,1582.94929253081
"homarine","mtab_TSQ_cm_PMI_2020_1112_60",0.559,1454261.62,1007.86275322203,0,0.000174310816875925,0,"N2","pos",0,1271.04285311306
"homarine","mtab_TSQ_cm_PMI_2020_1112_61",0.559,1805959.38,1251.60367839037,0,0.000263938486876781,0,"N1","pos",0,1924.59156246741
"indole 3-acetic acid","mtab_TSQ_cm_PMI_2020_1112_52",5.462,1971.96,0.407754137840728,0,8.02493569842828e-08,0,"N3","pos",0,0.458096569153344
"indole 3-acetic acid","mtab_TSQ_cm_PMI_2020_1112_53",5.302,2147.7,0.444092964279464,0,3.42505745206067e-08,0,"R1","pos",0,0.195516466038399
"indole 3-acetic acid","mtab_TSQ_cm_PMI_2020_1112_54",5.365,2123.07,0.439000069689808,0,3.81709714192682e-08,0,"R2","pos",0,0.21789571537429
"indole 3-acetic acid","mtab_TSQ_cm_PMI_2020_1112_55",5.368,1997.89,0.413115841320621,0,5.61240191967727e-08,0,"P3","pos",0,0.320379148286178
"indole 3-acetic acid","mtab_TSQ_cm_PMI_2020_1112_56",5.302,1971.96,0.407754137840728,0,3.61407498063989e-08,0,"R3","pos",0,0.206306369485095
"indole 3-acetic acid","mtab_TSQ_cm_PMI_2020_1112_58",5.345,1971.96,0.407754137840728,0,5.86339871045367e-08,0,"P1","pos",0,0.334707084738764
"indole 3-acetic acid","mtab_TSQ_cm_PMI_2020_1112_59",5.333,2022.1,0.418121889961123,0,6.26523498428608e-08,0,"P2","pos",0,0.357645563665149
"indole 3-acetic acid","mtab_TSQ_cm_PMI_2020_1112_60",5.234,2261.54,0.467632352021501,0,8.08774577866762e-08,0,"N2","pos",0,0.46168202869435
"indole 3-acetic acid","mtab_TSQ_cm_PMI_2020_1112_61",5.629,1971.96,0.407754137840728,0,8.59872913587436e-08,0,"N1","pos",0,0.490851075229727
"l-cysteine","mtab_TSQ_cm_PMI_2020_1112_52",0.545,3114.5,34.7082528073723,0,6.83086868128244e-06,0,"N3","pos",0,56.3789095516874
"l-cysteine","mtab_TSQ_cm_PMI_2020_1112_53",0.516,7673.55,85.5146936362215,0,6.59530238617135e-06,0,"R1","pos",0,54.4346515860957
"l-cysteine","mtab_TSQ_cm_PMI_2020_1112_54",0.466,3390.92,37.7887007897174,0,3.28572024791428e-06,0,"R2","pos",0,27.1188531521482
"l-cysteine","mtab_TSQ_cm_PMI_2020_1112_55",0.565,5289.36,58.9450775627558,0,8.00800727977853e-06,0,"P3","pos",0,66.0944806848673
"l-cysteine","mtab_TSQ_cm_PMI_2020_1112_56",0.526,3114.5,34.7082528073723,0,3.07632017561145e-06,0,"R3","pos",0,25.3905593893319
"l-cysteine","mtab_TSQ_cm_PMI_2020_1112_58",0.565,3114.5,34.7082528073723,0,4.99095670323617e-06,0,"P1","pos",0,41.1931058372084
"l-cysteine","mtab_TSQ_cm_PMI_2020_1112_59",0.446,3195.75,35.6137097155756,0,5.33644053055868e-06,0,"P2","pos",0,44.0445735437329
"l-cysteine","mtab_TSQ_cm_PMI_2020_1112_60",0.526,5704.26,63.5687584392299,0,1.09942769250145e-05,0,"N2","pos",0,90.7418036069206
"l-cysteine","mtab_TSQ_cm_PMI_2020_1112_61",0.545,4614.74,51.427054923838,0,1.08449497995909e-05,0,"N1","pos",0,89.5093248563131
"lysine","mtab_TSQ_cm_PMI_2020_1112_52",0.436,19037.17,12.5539321951116,0,2.47071676971064e-06,0,"N3","pos",0,16.9007235085207
"lysine","mtab_TSQ_cm_PMI_2020_1112_53",0.446,16238.34,10.7082627996267,0,8.25872469292382e-07,0,"R1","pos",0,5.64930890821795
"lysine","mtab_TSQ_cm_PMI_2020_1112_54",0.426,16713.29,11.0214653447564,0,9.58314286761761e-07,0,"R2","pos",0,6.55526565949628
"lysine","mtab_TSQ_cm_PMI_2020_1112_55",0.416,5810.57,3.83174084146696,0,5.20562697029685e-07,0,"P3","pos",0,3.56086392386405
"lysine","mtab_TSQ_cm_PMI_2020_1112_56",0.396,10267.38,6.77075386422693,0,6.00116831930999e-07,0,"R3","pos",0,4.10504707525138
"lysine","mtab_TSQ_cm_PMI_2020_1112_58",0.455,15826.97,10.4369876527901,0,1.5008117457362e-06,0,"P1","pos",0,10.2661724176496
"lysine","mtab_TSQ_cm_PMI_2020_1112_59",0.416,10070.9,6.64118646541211,0,9.95130720951633e-07,0,"P2","pos",0,6.80710528046811
"lysine","mtab_TSQ_cm_PMI_2020_1112_60",0.416,15231.78,10.0444936579784,0,1.73720468290939e-06,0,"N2","pos",0,11.8831977762459
"lysine","mtab_TSQ_cm_PMI_2020_1112_61",0.416,11905.45,7.85096797750356,0,1.65561402884759e-06,0,"N1","pos",0,11.3250839923907
"ornithine","mtab_TSQ_cm_PMI_2020_1112_52",0.452,3636.09,5.24957903327961,0,1.03316018836678e-06,0,"N3","pos",0,7.81749537202467
"ornithine","mtab_TSQ_cm_PMI_2020_1112_53",0.442,5668.72,8.18417411492367,0,6.31202671421777e-07,0,"R1","pos",0,4.77604926923257
"ornithine","mtab_TSQ_cm_PMI_2020_1112_54",0.562,4151.91,5.99429048347647,0,5.21202401824776e-07,0,"R2","pos",0,3.94372277409788
"ornithine","mtab_TSQ_cm_PMI_2020_1112_55",0.562,3499,5.05165632243574,0,6.86294806583903e-07,0,"P3","pos",0,5.19290864545931
"ornithine","mtab_TSQ_cm_PMI_2020_1112_56",0.452,4491.11,6.48400806694895,0,5.74701496669564e-07,0,"R3","pos",0,4.34852827383145
"ornithine","mtab_TSQ_cm_PMI_2020_1112_58",0.451,2539.12,3.66583641080967,0,5.27137764872207e-07,0,"P1","pos",0,3.98863320877881
"ornithine","mtab_TSQ_cm_PMI_2020_1112_59",0.472,5042.71,7.28037663724205,0,1.09090845281191e-06,0,"P2","pos",0,8.25445257878261
"ornithine","mtab_TSQ_cm_PMI_2020_1112_60",0.633,5285.06,7.63026772319298,0,1.31966202298853e-06,0,"N2","pos",0,9.98533613036115
"ornithine","mtab_TSQ_cm_PMI_2020_1112_61",0.402,4252.78,6.13992082735875,0,1.29478799135556e-06,0,"N1","pos",0,9.79712463192766
"phycocyanobilin","mtab_TSQ_cm_PMI_2020_1112_52",7.152,87.34,5.04246228127581,0,9.92397913685782e-07,0,"N3","pos",0,1.69152007650681
"phycocyanobilin","mtab_TSQ_cm_PMI_2020_1112_53",7.156,164.42,9.49257669209261,0,7.3211293926398e-07,0,"R1","pos",0,1.24787015163712
"phycocyanobilin","mtab_TSQ_cm_PMI_2020_1112_54",7.149,141.32,8.15892797790127,0,7.0941721461774e-07,0,"R2","pos",0,1.20918579593608
"phycocyanobilin","mtab_TSQ_cm_PMI_2020_1112_55",7.186,151.14,8.72587301570902,0,1.18545699694477e-06,0,"P3","pos",0,2.02058497152631
"phycocyanobilin","mtab_TSQ_cm_PMI_2020_1112_56",7.137,232.69,13.4340571127784,0,1.19070992036737e-06,0,"R3","pos",0,2.02953846216464
"phycocyanobilin","mtab_TSQ_cm_PMI_2020_1112_58",7.089,99.22,5.72833876285992,0,8.23720251940501e-07,0,"P1","pos",0,1.40401276984524
"phycocyanobilin","mtab_TSQ_cm_PMI_2020_1112_59",7.134,131.9,7.61507642432195,0,1.14106064205608e-06,0,"P2","pos",0,1.9449123763079
"phycocyanobilin","mtab_TSQ_cm_PMI_2020_1112_61",7.131,174.68,10.0849245625516,0,2.12671133463715e-06,0,"N1","pos",0,3.62493196515562
"phycocyanobilin","mtab_TSQ_cm_PMI_2020_1112_60",0,87.34,5.04246228127581,0,8.72098623056859e-07,0,"N2","pos",0,1.48647262277669
"threonine (isom. homoserine)","mtab_TSQ_cm_PMI_2020_1112_52",0.534,1797.11,1.49841634415559,0,2.94900620138391e-07,0,"N3","pos",0,2.47566000787769
"threonine (isom. homoserine)","mtab_TSQ_cm_PMI_2020_1112_53",0.524,13635.67,11.3693156186945,0,8.76856026030946e-07,0,"R1","pos",0,7.36111506070304
"threonine (isom. homoserine)","mtab_TSQ_cm_PMI_2020_1112_54",0.534,10946.8,9.12735672062502,0,7.93621907082198e-07,0,"R2","pos",0,6.66237329652617
"threonine (isom. homoserine)","mtab_TSQ_cm_PMI_2020_1112_55",0.534,3865.5,3.22302384291081,0,4.37865203747522e-07,0,"P3","pos",0,3.67583280513366
"threonine (isom. homoserine)","mtab_TSQ_cm_PMI_2020_1112_56",0.534,6469.02,5.39381857463895,0,4.78073989976963e-07,0,"R3","pos",0,4.01338137992749
"threonine (isom. homoserine)","mtab_TSQ_cm_PMI_2020_1112_58",0.543,1997.07,1.66514143732037,0,2.39443018481909e-07,0,"P1","pos",0,2.01009921492536
"threonine (isom. homoserine)","mtab_TSQ_cm_PMI_2020_1112_59",0.524,3624.05,3.02170471036112,0,4.52779213862656e-07,0,"P2","pos",0,3.80103436755084
"threonine (isom. homoserine)","mtab_TSQ_cm_PMI_2020_1112_61",0.728,2694.98,2.24705336855976,0,4.7385915866896e-07,0,"N1","pos",0,3.97799830984688
"threonine (isom. homoserine)","mtab_TSQ_cm_PMI_2020_1112_60",0,612.58,0.510764440742543,0,8.8337193345406e-08,0,"N2","pos",0,0.741581542523556
"d2 quant","mtab_TSQ_cm_PMI_2020_1112_82",6.931,62.58,0.542091736285891,0.248232637561105,4.71347719534784e-08,2.15837799760934e-08,"R2","neg",0.0612357930493188,0.133727046141454
"d2 quant","mtab_TSQ_cm_PMI_2020_1112_84",6.943,22.17,0.192044963142509,0.0879405173334882,1.70216518249622e-08,7.79449167977867e-09,"R3","neg",0.0221139151694575,0.0482924839701597
"d2 quant","mtab_TSQ_cm_PMI_2020_1112_87",6.955,13.1,0.113477177138785,0.0519630481311996,1.70036823519106e-08,7.78626316531775e-09,"P2","neg",0.022090569879189,0.0482415024027878
"d2 quant","mtab_TSQ_cm_PMI_2020_1112_89",7.023,21.01,0.181996602418769,0.0833392092546949,3.83794876033775e-08,1.75745926350106e-08,"N1","neg",0.0498612438931274,0.108887246016335
"d2 quant","mtab_TSQ_cm_PMI_2020_1112_80",0,0,0,0,0,0,"N3","neg",0,0
"d2 quant","mtab_TSQ_cm_PMI_2020_1112_81",0,0,0,0,0,0,"R1","neg",0,0
"d2 quant","mtab_TSQ_cm_PMI_2020_1112_83",0,0,0,0,0,0,"P3","neg",0,0
"d2 quant","mtab_TSQ_cm_PMI_2020_1112_86",0,0,0,0,0,0,"P1","neg",0,0
"d2 quant","mtab_TSQ_cm_PMI_2020_1112_88",0,0,0,0,0,0,"N2","neg",0,0
"e2 quant","mtab_TSQ_cm_PMI_2020_1112_80",6.794,15.77,0.0541886725249522,0.0263970549409542,1.06647749768707e-08,5.19515680823772e-09,"N3","neg",0.0147392879060281,0.0302572558710548
"e2 quant","mtab_TSQ_cm_PMI_2020_1112_81",6.797,16.91,0.0581059259604909,0.0283052757800593,4.48140706400891e-09,2.18303831722307e-09,"R1","neg",0.00619354361285519,0.0127142935966434
"e2 quant","mtab_TSQ_cm_PMI_2020_1112_82",6.72,21.9,0.0752525002090332,0.0366579266459668,6.54319038431389e-09,3.18739965413112e-09,"R2","neg",0.00904303814262524,0.0185638221247592
"e2 quant","mtab_TSQ_cm_PMI_2020_1112_84",6.767,47.28,0.162462931958132,0.0791409484849913,1.43996875367242e-08,7.01455350958178e-09,"R3","neg",0.019901136294101,0.040853654315897
"e2 quant","mtab_TSQ_cm_PMI_2020_1112_86",6.741,113.04,0.388426603818681,0.189215161098634,5.58547378573988e-08,2.7208649247782e-08,"P1","neg",0.0771942271619769,0.158466643565123
"e2 quant","mtab_TSQ_cm_PMI_2020_1112_87",6.794,29.66,0.10191731306849,0.0496472193753139,1.52715256166213e-08,7.43925403502945e-09,"P2","neg",0.0211060630267241,0.0433271643448274
"e2 quant","mtab_TSQ_cm_PMI_2020_1112_88",6.736,11.34,0.0389663631219377,0.0189817757153088,6.73926937448055e-09,3.28291607177011e-09,"N2","neg",0.00931402976642015,0.0191201219237965
"e2 quant","mtab_TSQ_cm_PMI_2020_1112_89",6.766,11.01,0.037832421337966,0.0184293959987258,7.97811017595392e-09,3.88639549239128e-09,"N1","neg",0.0110261738371813,0.0226348630406954
"e2 quant","mtab_TSQ_cm_PMI_2020_1112_83",0,0,0,0,0,0,"P3","neg",0,0
"f2 quant","mtab_TSQ_cm_PMI_2020_1112_80",6.758,105.16,0.735629516248669,0.32493623927305,1.44777919287906e-07,6.39501156276157e-08,"N3","neg",0.180405426618189,0.408423378717857
"f2 quant","mtab_TSQ_cm_PMI_2020_1112_81",6.785,77.15,0.539690159552918,0.238387512931874,4.16234876807755e-08,1.83855857516291e-08,"R1","neg",0.0518663556523051,0.117421258408868
"f2 quant","mtab_TSQ_cm_PMI_2020_1112_82",6.599,77.15,0.539690159552918,0.238387512931874,4.69259553195761e-08,2.07277482877453e-08,"R2","neg",0.0584736749259346,0.132379697922523
"f2 quant","mtab_TSQ_cm_PMI_2020_1112_83",6.791,77.15,0.539690159552918,0.238387512931874,7.33198242367797e-08,3.23862316905822e-08,"P3","neg",0.0913626486419042,0.206837689677216
"f2 quant","mtab_TSQ_cm_PMI_2020_1112_84",6.65,116.91,0.817824712292049,0.361242827438307,7.24868139142764e-08,3.2018281199892e-08,"R3","neg",0.0903246479346987,0.204487739546029
"f2 quant","mtab_TSQ_cm_PMI_2020_1112_86",6.799,77.15,0.539690159552918,0.238387512931874,7.76060447191136e-08,3.42795058638739e-08,"P1","neg",0.0967036387493622,0.21892926178942
"f2 quant","mtab_TSQ_cm_PMI_2020_1112_87",6.584,114.22,0.79900725889999,0.352930936190261,1.19725093360317e-07,5.28839867403656e-08,"P2","neg",0.14918750490963,0.337748514331745
"f2 quant","mtab_TSQ_cm_PMI_2020_1112_88",6.654,77.15,0.539690159552918,0.238387512931874,9.33399237850823e-08,4.12293459395467e-08,"N2","neg",0.116309371303167,0.263315063713277
"f2 quant","mtab_TSQ_cm_PMI_2020_1112_89",6.724,169.96,1.18892727825812,0.525163210601442,2.50721272434694e-07,1.10746545062697e-07,"N1","neg",0.312419727665022,0.707293140472506
"2-3-dihydroxypropane1sulfonate","mtab_TSQ_cm_PMI_2020_1112_80",0.555,5120.11,336854.337027286,64440.7068917675,0.0662956949669647,0.012682459383642,"N3","neg",81743.2122696874,427300.644324619
"2-3-dihydroxypropane1sulfonate","mtab_TSQ_cm_PMI_2020_1112_81",0.57,4579.56,301640.26641751,57625.0890469185,0.0232639407834598,0.00444432262028824,"R1","neg",28645.3278781066,149944.832635899
"2-3-dihydroxypropane1sulfonate","mtab_TSQ_cm_PMI_2020_1112_82",0.562,5237.18,344480.84936895,65916.8041650938,0.0299525434359007,0.00573145341323783,"R2","neg",36941.3690830669,193055.387920726
"2-3-dihydroxypropane1sulfonate","mtab_TSQ_cm_PMI_2020_1112_83",0.569,7666.41,502732.771942969,96546.1693251023,0.0682989634412878,0.013116318762445,"P3","neg",84539.5988555914,440212.461754997
"2-3-dihydroxypropane1sulfonate","mtab_TSQ_cm_PMI_2020_1112_84",0.639,4148.5,273558.909878707,52189.9947388977,0.0242465329023819,0.00462579129728546,"R3","neg",29814.9616325199,156278.007749803
"2-3-dihydroxypropane1sulfonate","mtab_TSQ_cm_PMI_2020_1112_86",0.569,3790.7,250250.06802471,47678.6117680588,0.035985310508858,0.00685606067022316,"P1","neg",44189.8850803942,231938.836666826
"2-3-dihydroxypropane1sulfonate","mtab_TSQ_cm_PMI_2020_1112_87",0.56,5911.67,388420.426624685,74421.2275860025,0.0582018139668931,0.0111514486526571,"P2","neg",71875.2733010448,375132.542487226
"2-3-dihydroxypropane1sulfonate","mtab_TSQ_cm_PMI_2020_1112_88",0.562,8441.31,553213.547663097,106316.6295378,0.095678806555459,0.0183875616823657,"N2","neg",118514.738526366,616685.830199542
"2-3-dihydroxypropane1sulfonate","mtab_TSQ_cm_PMI_2020_1112_89",0.536,6111.01,401406.409115394,76934.640334485,0.0846486807875254,0.0162239955897285,"N1","neg",104569.742763316,545592.528440383
"2deoxyadenosine","mtab_TSQ_cm_PMI_2020_1112_52",2.194,15355.56,0.755004777045509,0,1.48591129445829e-07,0,"N3","pos",0,0.591431019924491
"2deoxyadenosine","mtab_TSQ_cm_PMI_2020_1112_53",2.033,61773.41,3.03728549426988,0,2.34249991621988e-07,0,"R1","pos",0,0.932375384580433
"2deoxyadenosine","mtab_TSQ_cm_PMI_2020_1112_54",2.178,19850.62,0.976018649096166,0,8.4864633360188e-08,0,"R2","pos",0,0.337783129120315
"2deoxyadenosine","mtab_TSQ_cm_PMI_2020_1112_55",2.029,1649958.88,81.1254579011549,0,1.10213317940953e-05,0,"P3","pos",0,43.8677431702567
"2deoxyadenosine","mtab_TSQ_cm_PMI_2020_1112_56",2.166,11748.79,0.577666498291466,0,5.12007076049471e-08,0,"R3","pos",0,0.203792021990714
"2deoxyadenosine","mtab_TSQ_cm_PMI_2020_1112_58",2.145,3127831.25,153.789737107746,0,2.21145651890549e-05,0,"P1","pos",0,88.0216732568655
"2deoxyadenosine","mtab_TSQ_cm_PMI_2020_1112_59",2.029,769839.5,37.8515990337263,0,5.67177103545862e-06,0,"P2","pos",0,22.5751115883562
"2deoxyadenosine","mtab_TSQ_cm_PMI_2020_1112_60",2.139,6120.78,0.300947548591169,0,5.20491633052515e-08,0,"N2","pos",0,0.207169094512225
"2deoxyadenosine","mtab_TSQ_cm_PMI_2020_1112_61",2.032,7717.43,0.379451906443941,0,8.00189099460976e-08,0,"N1","pos",0,0.318495900119796
"2deoxycytidine","mtab_TSQ_cm_PMI_2020_1112_52",0.851,755.83,1.7270052054319,3.29381106460584,3.39888781946718e-07,6.48249019279315e-07,"N3","pos",2.85295757098545,1.49585767954721
"2deoxycytidine","mtab_TSQ_cm_PMI_2020_1112_53",0.818,4090.26,9.34588506882484,17.8248331570785,7.20799379315033e-07,1.37473643014013e-06,"R1","pos",6.05024394921279,3.17225323173591
"2deoxycytidine","mtab_TSQ_cm_PMI_2020_1112_54",0.852,2984.45,6.81920628362361,13.0058537392838,5.92928671601835e-07,1.1308564750711e-06,"R2","pos",4.9769231364805,2.60949155708932
"2deoxycytidine","mtab_TSQ_cm_PMI_2020_1112_55",0.829,33377.86,76.2654802881298,145.456471138834,1.0361077575866e-05,1.97610475366761e-05,"P3","pos",86.9687859197082,45.5993203761377
"2deoxycytidine","mtab_TSQ_cm_PMI_2020_1112_56",0.851,7758.07,17.726508969087,33.8086829128066,1.57116572497641e-06,2.9965879853631e-06,"R3","pos",13.1880467624465,6.91473340804687
"2deoxycytidine","mtab_TSQ_cm_PMI_2020_1112_58",0.839,58851.57,134.470671629652,256.467661293445,1.93365336965659e-05,3.68793842893739e-05,"P1","pos",162.306946084737,85.1004915789363
"2deoxycytidine","mtab_TSQ_cm_PMI_2020_1112_59",0.829,11151.75,25.4807698816866,48.5979089738673,3.81809741901171e-06,7.28202294059597e-06,"P2","pos",32.0483361526097,16.8035270619299
"2deoxycytidine","mtab_TSQ_cm_PMI_2020_1112_60",0.841,1013.06,2.31475317652758,4.41478670747336,4.00338752252488e-07,7.63541538619721e-07,"N2","pos",3.36036237399754,1.76189927054171
"2deoxycytidine","mtab_TSQ_cm_PMI_2020_1112_61",0.818,1479.02,3.37943087590846,6.44538115816165,7.1265520171614e-07,1.35920353990739e-06,"N1","pos",5.98188337253494,3.13641053479509
"2deoxyguanosine","mtab_TSQ_cm_PMI_2020_1112_80",2.534,851.15,83543.1435217409,66675.7046846497,0.016441975508987,0.0131223252711836,"N3","neg",49103.1479987412,61525.1291310694
"2deoxyguanosine","mtab_TSQ_cm_PMI_2020_1112_81",2.707,3762.55,368846.990839898,296497.286979461,0.028447244974846,0.0228672895985291,"R1","neg",85568.3640118586,106448.304800352
"2deoxyguanosine","mtab_TSQ_cm_PMI_2020_1112_82",2.602,1724.08,169086.279964497,135583.499502473,0.0147020194426749,0.0117889591409179,"R2","neg",44113.7522111881,55014.2921818399
"2deoxyguanosine","mtab_TSQ_cm_PMI_2020_1112_83",2.491,7311.69,716646.43326305,576661.115579381,0.0973602901529462,0.0783425283749681,"P3","neg",293154.199876396,364317.804793243
"2deoxyguanosine","mtab_TSQ_cm_PMI_2020_1112_84",2.679,1161.95,114000.118086034,91209.7940496382,0.0101042499960027,0.00808425970634475,"R3","neg",30250.9343898546,37809.6467445094
"2deoxyguanosine","mtab_TSQ_cm_PMI_2020_1112_86",2.737,23267.97,2280288.69227444,1836226.10738369,0.327899597746487,0.264044550158321,"P1","neg",988042.771135762,1226985.47278284
"2deoxyguanosine","mtab_TSQ_cm_PMI_2020_1112_87",2.657,4225.67,414230.626812278,333055.290411615,0.0620692739839175,0.0499057740646497,"P2","neg",186745.150668499,232260.417541975
"2deoxyguanosine","mtab_TSQ_cm_PMI_2020_1112_88",2.536,621.85,61072.7951704139,48575.1040044958,0.0105625977158278,0.008401110202543,"N2","neg",31436.5746240944,39524.7631934883
"2deoxyguanosine","mtab_TSQ_cm_PMI_2020_1112_89",2.733,860.16,84426.0821987817,67386.9406729977,0.0178037926647345,0.0142105743723606,"N1","neg",53175.3269434239,66620.9873699091
"3-mercapto proprionate","mtab_TSQ_cm_PMI_2020_1112_80",5.029,715.82,45089.611455048,0,0.00887400516669222,0,"N3","neg",0,84401.7991886268
"3-mercapto proprionate","mtab_TSQ_cm_PMI_2020_1112_81",5.076,688.22,43356.2782458265,0,0.00334384365085405,0,"R1","neg",0,31803.7250414119
"3-mercapto proprionate","mtab_TSQ_cm_PMI_2020_1112_82",5.031,212.7,13492.705504921,0,0.00117318814222708,0,"R2","neg",0,11158.3426120133
"3-mercapto proprionate","mtab_TSQ_cm_PMI_2020_1112_83",5.044,924.81,58214.586360671,0,0.0079087661029749,0,"P3","neg",0,75221.2868839157
"3-mercapto proprionate","mtab_TSQ_cm_PMI_2020_1112_84",5.072,503.75,31771.2066115843,0,0.00281599896270135,0,"R3","neg",0,26783.3266378291
"3-mercapto proprionate","mtab_TSQ_cm_PMI_2020_1112_86",5.048,1125.21,70800.0927058878,0,0.0101808696404659,0,"P1","neg",0,96831.5545031948
"3-mercapto proprionate","mtab_TSQ_cm_PMI_2020_1112_87",5.074,678.55,42748.9836033203,0,0.00640560645220219,0,"P2","neg",0,60924.543011244
"3-mercapto proprionate","mtab_TSQ_cm_PMI_2020_1112_88",5.063,537.48,33889.515638651,0,0.00586122379819837,0,"N2","neg",0,55746.8498972643
